"ID","RawBarcode","OrderedForInvoiceCode","OrderedForInvoiceDateStamp","OrderedForInvoiceTimeStamp","Spiff","SpiffEndDate","SpiffStartDate","POLineTimeStamp","PODateStamp","DateReserved","Notes","OriginalCost","FreightAmount","FreightInvoiceNumber","ResizePicture","PicturePath","StandardCost","ReserveExclusive","SerialTypeCode","UniqueSellPrice","Discount1","Discount2","Discount3","Discount4","Discount5","Discount6","Discount7","Discount8","Discount9","Discount10","ReserveExclusiveCommentCode","TagPrice","Discount1Method","Discount2Method","Discount3Method","Discount4Method","Discount5Method","Discount6Method","Discount7Method","Discount8Method","Discount9Method","Discount10Method","Discount1Rate","Discount2Rate","Discount3Rate","Discount4Rate","Discount5Rate","Discount6Rate","Discount7Rate","Discount8Rate","Discount9Rate","Discount10Rate","SupplierCode","DyeLot","DoNotService","Available","BinLocationCode","Code","Cost","DateReceived","Features","FloorPlan","FloorPlanDueDate","InvLineDateStamp","InvLineTimeStamp","InvoiceCode","LocationCode","ModelCode","POCode","RunNumber","Status","SupplierInvoice","TrustDocument","TrustDocumentLine"
"123329","","S00062666","2025-05-06 00:00:00","12:07:22:679","","","","19:37:04:253","2025-06-12 00:00:00","2026-02-19 00:00:00","","515.0000","0.0000","","","","515.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","00025","515.0000","2026-02-19 00:00:00","","","","2025-05-06 00:00:00","12:07:22:679","S00062666","","7025308","36067","","Taken","90296553","","0"
"123337","","S00062666","2025-05-06 00:00:00","12:04:18:368","","","","19:37:54:643","2025-06-12 00:00:00","2026-02-19 00:00:00","","144.0000","0.0000","","","","144.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","00137","144.0000","2026-02-19 00:00:00","","","","2025-05-06 00:00:00","12:04:18:368","S00062666","","9019420","36067","","Taken","90296553","","0"
"123343","","S00062666","2025-05-06 00:00:00","14:27:52:708","","","","19:37:29:16","2025-06-12 00:00:00","2026-02-19 00:00:00","","176.0000","0.0000","","","","176.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","00028","176.0000","2026-02-19 00:00:00","","","","2025-05-06 00:00:00","14:27:52:708","S00062666","","7026115","36067","","Taken","90296553","","0"
"123636","","S00062666","2026-04-22 00:00:00","08:05:51:650","","","","01:38:14:134","2025-12-11 00:00:00","2026-05-26 00:00:00","","2153.0000","0.0000","","","","2504.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","23320854","2153.0000","2026-02-26 00:00:00","","","","2026-04-22 00:00:00","08:05:51:650","S00062666","","DEU2450BG/L","37367","","Taken","90309998","","0"
"124018","","S00062666","2025-05-06 00:00:00","12:05:41:240","0.0000","","","19:38:02:722","2025-06-12 00:00:00","2026-03-05 00:00:00","","7421.0000","0.0000","","False","","7812.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","24629251","7421.0000","2026-03-05 00:00:00","","","","2025-05-06 00:00:00","12:05:41:240","S00062666","","DEC3050RID/R","36067","","Taken","90330190","","0"
"124025","","S00062666","2025-05-06 00:00:00","12:07:11:066","","","","19:38:29:348","2025-06-12 00:00:00","2026-03-05 00:00:00","","3835.0000","0.0000","","","","4037.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","24604066","3835.0000","2026-03-05 00:00:00","","","","2025-05-06 00:00:00","12:07:11:066","S00062666","","ID-30F","36067","","Taken","90330190","","0"
"124086","","S00065014","2026-09-21 00:00:00","09:15:26:843","","","","16:57:44:523","2026-02-06 00:00:00","2026-09-21 00:00:00","","2392.3200","0.0000","","","","2840.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","BSH","","False","True","PULL1","0051201942","2392.3200","2026-03-06 00:00:00","","","1899-12-30 00:00:00","2026-09-21 00:00:00","09:15:26:843","S00065014","","B36CT80SNS","P82","","Taken","2187176586","","0"
"124366","","R00015749","2026-09-16 00:00:00","15:52:13:616","0.0000","","","12:32:38:556","2026-01-31 00:00:00","2026-09-16 00:00:00","","1154.4800","0.0000","","False","","1215.2400","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","MIELE","","False","True","PULL1","106970550","1154.4800","2026-03-13 00:00:00","","","","2026-09-16 00:00:00","15:52:13:616","R00015749","","11966820","37738","","Taken","2366606582","","0"
"124662","","S00062666","2025-05-06 00:00:00","12:02:55:306","","","","19:38:39:437","2025-06-12 00:00:00","2026-03-26 00:00:00","","1693.0000","0.0000","","","","1876.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","26406586","1693.0000","2026-03-26 00:00:00","","","","2025-05-06 00:00:00","12:02:55:306","S00062666","","MD24TE/S","36067","","Taken","90370557","","0"
"124793","","R00015685","2026-09-08 00:00:00","14:17:21:543","","","","09:59:11:010","2026-03-27 00:00:00","2026-09-18 00:00:00","","200.0000","0.0000","","","","200.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","GEC","","False","True","PULL1","SIAD942150G","200.0000","2026-03-27 00:00:00","","","1899-12-30 00:00:00","2026-09-08 00:00:00","14:17:21:543","R00015685","","GFP1528PTDS","P216","","Taken","183610187","","0"
