"ID","ShowInMobileTech","Code","Description"
"120","True","DW400","Electronic Control/Timer/Pad Replacement"
"121","True","DW401","Heating Element Replacement"
"122","True","RE405","Fan/Light Switch Replacement"
"123","True","RE406","Light Bulb Replacement"
"124","True","DW402","Drying Fan Motor/Blade Replacement"
"125","True","RE407","Transformer Replacement"
"126","True","DW403","Door Switch Replacement"
"127","True","RE500","Defrost Evaporator (Additional)"
"128","True","RE501","Defrost Timer/Adaptive Control Replacement"
"129","True","DW404","Repaired Burned Wire(s) and/or Loose Connection"
"130","True","RE502","Defrost Heater/Drain Heater Replacement"
"131","True","DW405","Light Bulb Replacement"
"132","True","RE503","Defrost Bimetal Replacement"
"133","True","DW406","Interference Suppressor Replacement"
"134","True","RE504","Clear Debris From Defrost Drain"
"135","True","DW407","Flow Meter Replacement"
"136","True","RE505","Condensate Drain Pan Replacement"
"137","True","DW600","Problem Could Not Be Reproduced"
"138","True","RE700","Ice Maker Kit/Component Replacement"
"139","True","RE701","Deice Fill Tube"
"140","True","DW601","Address Noise Complaint"
"141","True","RE702","Double/Single Water Valve Replacement"
"142","True","DW602","Major Cabinet Component"
"143","True","RE703","Water Line Replacement"
"144","True","RE704","Water Reservoir Replacement"
"145","True","DW603","Minor Cabinet Component"
"146","True","RE705","Auger Moter/Cubed-Crushed Solenoid Replacement"
"147","True","RE706","Ice Bin Replacement"
"148","True","DW604","Major Component"
"149","True","DW605","Minor Component"
"150","True","RE707","Ice/Water Dispenser Component Replacement"
"151","True","RE708","Water Filter Replacement"
"152","True","DW606","Additional Component Replacement"
"153","True","RE600","Problem Could Not be Reproduced"
"154","True","DW607","Cosmetic Part"
"155","True","RE601","Address Noise Complaint"
"156","True","DW608","Difficult Access Fee"
"157","True","RE602","Major Cabinet Component"
"158","True","RE603","Minor Cabnet Component"
"159","True","DW609","Level Unit/Adjust Unit"
"160","True","RE604","Major Component"
"161","True","DW610","Repair Burned Wire(s) or Loose Connection"
"162","True","RE605","Minor Componet"
"163","True","DW611","Address Washability Complaint"
"164","True","DW612","Reinstallation of Unit"
"165","True","RE606","Additional Component Replacement"
"166","True","DW613","No Water at Supply"
"167","True","RE607","Cosmetic Part"
"168","True","RE608","Difficult Access Fee"
"169","True","DW614","Disconnect was Turned Off (Light Switch)"
"170","True","RE609","Level Unit/Adjust Unit"
"171","True","DW615","Reset Circuit Breaker"
"172","True","RE610","Repair Burnt Wire(s) or Loose Connection"
"175","True","CG300","Griddle/Grill Component Replacement"
"176","True","CE300","Griddle/Grill Component Replacement"
"177","True","CG301","Door Lock/Latch Assembly Replacement"
"178","True","CE301","Door Lock/Latch Assembly Replacement"
"179","True","CG302","Door Component Replacement"
"180","True","CG303","Door Hinge Assembly Replacement"
