"ID","Code","Description","PromptCode","Qualification","WarrantyCategory","InstallationEstimate","InstallationNotes","ShowSerialInventory","ShowItemInventory","ShowInvoicing","ProductMinorCode","Points","ShowOnSvcReq","SBProduct","SamsungProduct","ServicePowerProduct","UserCode","SafetyWeeksA","SafetyWeeksB","SafetyWeeksC","SafetyWeeksD","DispatchMeProduct","AvalaraTaxCode"
"111","PIZZA","PIZZA OVEN","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"112","CAB","CABINETRY","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"113","OFIRE","OUTDOOR FIREPLACE","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"114","SALM","SALAMANDER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"116","FOOD","FOOD PRODUCTS","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"117","REOUT","OUTDOOR REFRIGERATOR","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"118","TAPCW","COLD WATER TAP","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"119","SDUCT","SPLIT DUCTLESS","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"120","REBIC","BUILT IN COMBO REF/FRZ","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"121","CTAPP","COUNTERTOP APPLIANCE","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"123","VHISL","ISLAND VENTHOOD","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"124","CHILL","BLAST CHILLER","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"125","VACSE","VACUUM SEALER","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"126","FLAME","PATIO FLAME","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"127","FIRE","FIREPLACE/HEATER","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"128","CABSS","STAINLESS STEEL CABINETRY","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"129","HEAT","HEATER","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"131","IMCTP","COUNTERTOP ICE MACHINE","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"132","ROTIS","ROTISSERIE/FLAMBERGE","","","","0.0000","","True","False","True","","0","True","","","","","","","","","",""
"134","CREFR","COMMERCIAL REFRIGERATOR","","","","0.0000","","True","False","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"135","CFREZ","COMMERCIAL FREEZER","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"136","COUNT","COUNTERTOP","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"137","CONNE","APPLIANCE CONNECTOR","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"138","OLDPO","Used to cost OLD PO's","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"139","STEAM","STEAM CLOSETS","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"140","WTRSY","WATER CONDITIONING SYSTEM","","","","0.0000","CREATED FOR ZIP WATER BOILING, CHILLED, SPARKLING COMMAND SYSTEMS AND SIMILAR","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"143","CMICE","COMMERICAL ICE MACHINE","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"144","CMREF","COMMERICAL REFRIGERATION","","","","0.0000","","True","True","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"145","ACPAC","PACKAGE UNIT","","","","0.0000","","True","True","True","","0","False","","","","","0.0000","0.0000","0.0000","0.0000","",""
"146","DRCAB","DRYING CABINET","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"147","WASHP","PEDESTAL WASHER","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
"148","TEX","HOME TEXTILES","","","","0.0000","","True","False","True","","0","True","","","","","0.0000","0.0000","0.0000","0.0000","",""
